Ruolo;Nome;Squadra;Quotazione
P;Sommer;Inter;16
P;Di Gregorio;Juventus;16
P;Maignan;Milan;16
P;Meret;Napoli;16
P;Svilar;Roma;15
P;Carnesecchi;Atalanta;14
P;De Gea;Fiorentina;14
P;Provedel;Lazio;12
P;Skorupski;Bologna;10
P;Butez;Como;10
P;Israel;Torino;9
P;Leali;Genoa;8
P;Caprile;Cagliari;7
P;Suzuki;Parma;7
P;Turati;Sassuolo;7
P;Falcone;Lecce;6
P;Okoye;Udinese;6
P;Audero;Cremonese;5
P;Montipò;Verona;5
P;Milinkovic-Savic V.;Napoli;4
P;Sava;Udinese;4
P;Ravaglia F.;Bologna;3
P;Mandas;Lazio;3
P;Scuffet;Pisa;3
P;Semper;Pisa;3
P;Muric;Sassuolo;3
P;Martinez Jo.;Inter;2
P;Rossi F.;Atalanta;1
P;Sportiello;Atalanta;1
P;Pessina Mas.;Bologna;1
P;Ciocci;Cagliari;1
P;Radunovic;Cagliari;1
P;Vigorito;Como;1
P;Nava;Cremonese;1
P;Martinelli T.;Fiorentina;1
P;Siegrist;Genoa;1
P;Sommariva;Genoa;1
P;Di Gennaro;Inter;1
P;Perin;Juventus;1
P;Pinsoglio;Juventus;1
P;Furlanetto;Lazio;1
P;Fruchtl;Lecce;1
P;Samooja;Lecce;1
P;Terracciano;Milan;1
P;Torriani;Milan;1
P;Contini;Napoli;1
P;Corvi;Parma;1
P;Rinaldi;Parma;1
P;Nicolas;Pisa;1
P;Zelezny;Roma;1
P;Gollini;Roma;1
P;Russo A.;Sassuolo;1
P;Satalino;Sassuolo;1
P;Paleari;Torino;1
P;Popa;Torino;1
P;Padelli;Udinese;1
P;Perilli;Verona;1
P;Vasquez D.;Roma;1
P;Nunziante;Udinese;1
P;Lezzerini;Fiorentina;1
P;Silvestri;Cremonese;1
D;Dumfries;Inter;20
D;Dimarco;Inter;19
D;Gosens;Fiorentina;18
D;Zortea;Bologna;16
D;Bastoni;Inter;16
D;Cambiaso;Juventus;15
D;Angelino;Roma;15
D;Di Lorenzo;Napoli;14
D;Wesley;Roma;14
D;Bellanova;Atalanta;13
D;Zappacosta;Atalanta;13
D;Bremer;Juventus;13
D;Buongiorno;Napoli;13
D;Tavares N.;Lazio;12
D;Hien;Atalanta;11
D;Dodò;Fiorentina;11
D;Estupinan;Milan;11
D;Rrahmani;Napoli;11
D;Mancini;Roma;11
D;Solet;Udinese;11
D;Martin;Genoa;10
D;Carlos Augusto;Inter;10
D;Beukema;Napoli;10
D;Olivera;Napoli;10
D;Valeri;Parma;10
D;N'Dicka;Roma;10
D;Kossounou;Atalanta;9
D;Miranda J.;Bologna;9
D;Vasquez;Genoa;9
D;Acerbi;Inter;9
D;Bisseck;Inter;9
D;De Vrij;Inter;9
D;Kalulu;Juventus;9
D;Gila;Lazio;9
D;Djimsiti;Atalanta;8
D;Scalvini;Atalanta;8
D;Lucumì;Bologna;8
D;Vitik;Bologna;8
D;Holm;Bologna;8
D;De Winter;Milan;8
D;Pavard;Inter;8
D;Gatti;Juventus;8
D;Joao Mario;Juventus;8
D;Romagnoli;Lazio;8
D;Marusic;Lazio;8
D;Baschirotto;Cremonese;8
D;Gaspar K.;Lecce;8
D;Tomori;Milan;8
D;Delprato;Parma;8
D;Coco;Torino;8
D;Ismajli;Torino;8
D;Biraghi;Torino;8
D;Gutierrez;Napoli;8
D;Kolasinac;Atalanta;7
D;Luperto;Cagliari;7
D;Mina;Cagliari;7
D;Comuzzo;Fiorentina;7
D;Marì;Fiorentina;7
D;Ranieri L.;Fiorentina;7
D;Kelly L.;Juventus;7
D;Pavlovic;Milan;7
D;Spinazzola;Napoli;7
D;Celik;Roma;7
D;Maripan;Torino;7
D;Lazaro;Torino;7
D;Kamara H.;Udinese;7
D;Cuadrado;Pisa;7
D;Idzes;Sassuolo;7
D;Ahanor;Atalanta;6
D;Zappa;Cagliari;6
D;Vojvoda;Como;6
D;Valle;Como;6
D;Gabbia;Milan;6
D;Doig;Sassuolo;6
D;Bertola;Udinese;6
D;Candè;Sassuolo;6
D;Athekame;Milan;6
D;Troilo;Parma;6
D;Posch;Bologna;5
D;Lykogiannis;Bologna;5
D;Kempf;Como;5
D;Floriani Mussolini;Cremonese;5
D;Pezzella Giu.;Cremonese;5
D;Pongracic;Fiorentina;5
D;Parisi;Fiorentina;5
D;Sabelli;Genoa;5
D;Cabal;Juventus;5
D;Gallo;Lecce;5
D;Jimenez A.;Milan;5
D;Circati;Parma;5
D;Angori;Pisa;5
D;Rensch;Roma;5
D;Muharemovic;Sassuolo;5
D;Walukiewicz;Sassuolo;5
D;Kristensen T.;Udinese;5
D;Ehizibue;Udinese;5
D;Unai Nunez;Verona;5
D;Ostigard;Genoa;5
D;Nelsson;Verona;5
D;Siebert;Lecce;5
D;Casale;Bologna;4
D;De Silvestri;Bologna;4
D;Obert;Cagliari;4
D;Dossena;Como;4
D;Goldaniga;Como;4
D;Van Der Brempt;Como;4
D;Folino;Cremonese;4
D;Ceccherini;Cremonese;4
D;Viti;Fiorentina;4
D;Darmian;Inter;4
D;Gigot;Lazio;4
D;Patric;Lazio;4
D;Lazzari;Lazio;4
D;Kouassi;Lecce;4
D;Valenti;Parma;4
D;Caracciolo A.;Pisa;4
D;Mateus Lusuardi;Pisa;4
D;Salah-Eddine;Roma;4
D;Romagna;Sassuolo;4
D;Pedersen;Torino;4
D;Ghilardi;Roma;4
D;Valentini N.;Verona;4
D;Ebosse;Verona;4
D;Ramon;Como;4
D;Bradaric;Verona;4
D;Ndiaye;Parma;4
D;Goglichidze;Udinese;4
D;Heggem;Bologna;4
D;Belghali;Verona;4
D;Palestra;Atalanta;3
D;Idrissi R.;Cagliari;3
D;Moreno Alb.;Como;3
D;Bianchetti;Cremonese;3
D;Barbieri;Cremonese;3
D;Fortini;Fiorentina;3
